Attribute,AUROC_Gap,Best_AUROC_Group,Worst_AUROC_Group,Sensitivity_Gap,FNR_Gap,Worst_FNR_Group,Worst_FNR_Value,Specificity_Gap
gender,0.012463815712791204,M,F,0.014170062483020995,0.014170062483020912,M,0.24888888888888888,0.03331496409221313
age_band,0.11646296070140272,<30,80-89,0.3270013568521031,0.3270013568521031,40-49,0.417910447761194,0.41497457986891295
ethnicity_group,0.05937062573298524,Other-Unknown,Asian,0.12589590443686005,0.12589590443686008,Black,0.3375,0.08993506493506498
insurance,0.12337369576695734,Self Pay,Medicare,0.1280979396834876,0.12809793968348762,Private,0.30456852791878175,0.20679709054426887
