seed,black_n,black_deaths,black_fnr,white_fnr,abs_gap
42,702,63,0.2698412698412698,0.24777183600713013,0.0220694338341397
1,702,63,0.2222222222222222,0.25133689839572193,0.02911467617349972
7,702,63,0.23809523809523808,0.24955436720142601,0.011459129106187932
123,702,63,0.23809523809523808,0.24420677361853832,0.006111535523300238
2024,702,63,0.2857142857142857,0.24598930481283424,0.03972498090145146
MEAN,,,0.2507936507936508,0.24777183600713015,0.02169595110771581
RANGE,702–702,63–63,0.2222–0.2857,0.2442–0.2513,0.0061–0.0397
